src,dst,weight
f/prompts.chat,alvinreal/awesome-opensource-ai,6
f/prompts.chat,langchain-ai/langgraphjs,4
f/prompts.chat,instill-ai/instill-core,5
f/prompts.chat,hyp1231/awesome-llm-powered-agent,4
f/prompts.chat,Anil-matcha/Awesome-GPT-Image-2-API-Prompts,5
f/prompts.chat,richardgill/llm-ui,4
f/prompts.chat,business-science/awesome-generative-ai-data-scientist,4
f/prompts.chat,bricks-cloud/BricksLLM,6
f/prompts.chat,mlc-ai/web-llm-chat,4
f/prompts.chat,hollobit/GenAI_LLM_timeline,5
f/prompts.chat,yokoffing/ChatGPT-Prompts,5
f/prompts.chat,microsoft/rag-time,4
f/prompts.chat,chain-ml/council,5
f/prompts.chat,junruxiong/IncarnaMind,4
f/prompts.chat,stacklok/codegate,5
f/prompts.chat,Blazity/shadcn-chatbot-kit,4
f/prompts.chat,rnchg/APT,4
f/prompts.chat,FlowiseAI/Flowise,4
f/prompts.chat,Helicone/helicone,5
f/prompts.chat,billmei/every-chatgpt-gui,4
f/prompts.chat,om-ai-lab/OmAgent,4
f/prompts.chat,ax-llm/ax,7
f/prompts.chat,darrenburns/elia,5
f/prompts.chat,refuel-ai/autolabel,4
f/prompts.chat,snwfdhmp/awesome-gpt-prompt-engineering,8
f/prompts.chat,explosion/spacy-llm,6
f/prompts.chat,nlkitai/nlux,4
f/prompts.chat,curiousily/Get-Things-Done-with-Prompt-Engineering-and-LangChain,5
f/prompts.chat,swyxio/ai-notes,4
f/prompts.chat,calesthio/OpenMontage,4
f/prompts.chat,win4r/AISuperDomain,4
f/prompts.chat,mylxsw/aidea-server,4
f/prompts.chat,xxxily/hello-ai,5
f/prompts.chat,vercel/modelfusion,6
f/prompts.chat,snowby666/poe-api-wrapper,5
f/prompts.chat,georgia-tech-db/evadb,4
f/prompts.chat,judahpaul16/gpt-home,4
huggingface/transformers,rasbt/LLMs-from-scratch,5
huggingface/transformers,d2l-ai/d2l-zh,4
huggingface/transformers,labmlai/annotated_deep_learning_paper_implementations,4
huggingface/transformers,keras-team/keras,4
huggingface/transformers,ultralytics/ultralytics,4
huggingface/transformers,GokuMohandas/Made-With-ML,5
huggingface/transformers,ray-project/ray,5
huggingface/transformers,roboflow/supervision,5
huggingface/transformers,explosion/spaCy,5
huggingface/transformers,ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,4
huggingface/transformers,Lightning-AI/pytorch-lightning,4
