model,query_idx,query_repo,relevant_candidates,Precision@10,Recall@10,MAP@10,NDCG@10
Popularity baseline,934,kuangliu/pytorch-cifar,619,0.2,0.0032310177705977385,0.05,0.16421958630632802
Popularity baseline,935,FoundationVision/ByteTrack,619,0.2,0.0032310177705977385,0.05,0.16421958630632802
Popularity baseline,937,yl4579/StyleTTS2,415,0.2,0.004819277108433735,0.05,0.16421958630632802
Popularity baseline,940,skorch-dev/skorch,227,0.1,0.004405286343612335,0.0125,0.06943122193677727
Popularity baseline,941,aymericdamien/TopDeepLearning,763,0.3,0.003931847968545216,0.12083333333333332,0.2742654694553681
Popularity baseline,947,microsoft/MMdnn,146,0.0,0.0,0.0,0.0
Popularity baseline,951,facebookresearch/mmf,351,0.2,0.005698005698005698,0.05,0.16421958630632802
Popularity baseline,963,zylo117/Yet-Another-EfficientDet-Pytorch,783,0.2,0.002554278416347382,0.05,0.16421958630632802
Popularity baseline,971,matterport/Mask_RCNN,114,0.0,0.0,0.0,0.0
Popularity baseline,974,vipstone/faceai,294,0.1,0.003401360544217687,0.03333333333333333,0.11004588314904008
Popularity baseline,986,tensorflow/serving,716,0.2,0.002793296089385475,0.05833333333333333,0.17947710508581735
Popularity baseline,1001,tensorspace-team/tensorspace,545,0.2,0.003669724770642202,0.05833333333333333,0.17947710508581735
Popularity baseline,1009,deepjavalibrary/djl,873,0.4,0.004581901489117984,0.17619047619047618,0.3476293915547282
Popularity baseline,1017,OAID/Tengine,420,0.3,0.007142857142857143,0.09940476190476191,0.25284102718517737
Popularity baseline,1030,hwalsuklee/tensorflow-generative-model-collections,14,0.0,0.0,0.0,0.0
Popularity baseline,1036,xitu/tensorflow-docs,877,0.3,0.0034207525655644243,0.09940476190476191,0.25284102718517737
Popularity baseline,1062,cysmith/neural-style-tf,1044,0.3,0.0028735632183908046,0.12083333333333332,0.2742654694553681
Popularity baseline,1067,raghakot/keras-vis,565,0.2,0.0035398230088495575,0.05833333333333333,0.17947710508581735
Popularity baseline,1074,KichangKim/DeepDanbooru,877,0.3,0.0034207525655644243,0.09940476190476191,0.25284102718517737
Popularity baseline,1086,EleutherAI/gpt-neox,255,0.1,0.00392156862745098,0.01111111111111111,0.06625422345438903
Popularity baseline,1093,amazon-science/chronos-forecasting,383,0.3,0.007832898172323759,0.11607142857142856,0.28165758790969186
Popularity baseline,1096,datawhalechina/tiny-universe,73,0.1,0.0136986301369863,0.01,0.06362078819895171
Popularity baseline,1098,cvg/LightGlue,1042,0.4,0.003838771593090211,0.16527777777777777,0.34051969290975714
Popularity baseline,1103,0hq/WebGPT,277,0.4,0.01444043321299639,0.1519047619047619,0.3421013776262553
Popularity baseline,1106,BeastByteAI/scikit-llm,629,0.5,0.00794912559618442,0.22174603174603175,0.4042383682811874
Popularity baseline,1113,qingsongedu/time-series-transformers-review,554,0.2,0.0036101083032490976,0.05833333333333333,0.17947710508581735
Popularity baseline,1127,ai-forever/ru-gpts,107,0.1,0.009345794392523364,0.01111111111111111,0.06625422345438903
Popularity baseline,1134,peremartra/Large-Language-Model-Notebooks-Course,61,0.0,0.0,0.0,0.0
Popularity baseline,1136,IntelLabs/fastRAG,213,0.2,0.009389671361502348,0.034722222222222224,0.13568544539116628
Popularity baseline,1142,lucidrains/alphafold3-pytorch,170,0.0,0.0,0.0,0.0
Popularity baseline,1143,invictus717/MetaTransformer,304,0.1,0.003289473684210526,0.014285714285714285,0.07336392209936005
Popularity baseline,1149,cevek/ttypescript,244,0.2,0.00819672131147541,0.0365079365079365,0.13961814555374907
Popularity baseline,1154,kyegomez/awesome-multi-agent-papers,28,0.1,0.03571428571428571,0.01111111111111111,0.06625422345438903
Popularity baseline,1156,cdpierse/transformers-interpret,816,0.2,0.0024509803921568627,0.05833333333333333,0.17947710508581735
Popularity baseline,1166,tjake/Jlama,311,0.6,0.01929260450160772,0.3126984126984127,0.5056427642465515
Popularity baseline,1167,lucidrains/flamingo-pytorch,170,0.0,0.0,0.0,0.0
Popularity baseline,1174,openvinotoolkit/nncf,898,0.3,0.0033407572383073497,0.12083333333333332,0.2742654694553681
Popularity baseline,1181,gordicaleksa/pytorch-original-transformer,616,0.3,0.00487012987012987,0.12083333333333332,0.2742654694553681
Popularity baseline,1192,TinyLLaVA/TinyLLaVA_Factory,68,0.0,0.0,0.0,0.0
Popularity baseline,1197,Denis2054/Transformers-for-NLP-2nd-Edition,1099,0.8,0.007279344858962694,0.5758730158730159,0.7015099647232446
Popularity baseline,1206,yzhangcs/parser,766,0.3,0.0039164490861618795,0.08333333333333333,0.23047380976071707
Popularity baseline,1207,zamalali/DeepGit,321,0.4,0.012461059190031152,0.15607142857142856,0.3452783761086436
Popularity baseline,1213,styfeng/DataAug4NLP,624,0.3,0.004807692307692308,0.09940476190476191,0.25284102718517737
Popularity baseline,1214,lucidrains/PaLM-pytorch,1042,0.4,0.003838771593090211,0.16527777777777777,0.34051969290975714
Popularity baseline,1222,ChenRocks/UNITER,766,0.3,0.0039164490861618795,0.08333333333333333,0.23047380976071707
Popularity baseline,1230,Significant-Gravitas/AutoGPT,400,0.7,0.0175,0.4563095238095237,0.6659485553357843
Popularity baseline,1233,langgenius/dify,386,0.7,0.018134715025906734,0.5163095238095239,0.7167674835027339
Popularity baseline,1234,langchain-ai/langchain,438,0.7,0.01598173515981735,0.5163095238095239,0.7167674835027339
Popularity baseline,1241,bytedance/deer-flow,315,0.6,0.01904761904761905,0.4396428571428571,0.6505132600483449
Popularity baseline,1242,Mintplex-Labs/anything-llm,136,0.3,0.022058823529411766,0.16999999999999998,0.36885567213865283
Popularity baseline,1243,shareAI-lab/learn-claude-code,177,0.6,0.03389830508474576,0.4396428571428571,0.6505132600483449
Popularity baseline,1245,sansan0/TrendRadar,254,0.6,0.023622047244094488,0.4396428571428571,0.6505132600483449
Popularity baseline,1249,MemPalace/mempalace,245,0.6,0.024489795918367346,0.4396428571428571,0.6505132600483449
Popularity baseline,1251,jeecgboot/JeecgBoot,245,0.5,0.02040816326530612,0.36714285714285716,0.5810820381115676
Popularity baseline,1252,mudler/LocalAI,306,0.7,0.02287581699346405,0.5940476190476189,0.7542686714597936
Popularity baseline,1255,zhayujie/CowAgent,228,0.6,0.02631578947368421,0.4326984126984127,0.6473362615659566
Popularity baseline,1256,janhq/jan,118,0.5,0.0423728813559322,0.22730158730158728,0.42724449526787633
Popularity baseline,1275,datawhalechina/happy-llm,129,0.1,0.007751937984496124,0.01,0.06362078819895171
Popularity baseline,1277,onyx-dot-app/onyx,316,0.6,0.0189873417721519,0.2984126984126984,0.4966757172046536
Popularity baseline,1280,labring/FastGPT,209,0.5,0.023923444976076555,0.36714285714285716,0.5810820381115676
Popularity baseline,1287,VectifyAI/PageIndex,242,0.5,0.02066115702479339,0.36714285714285716,0.5810820381115676
Popularity baseline,1288,openai/openai-agents-python,295,0.6,0.020338983050847456,0.2984126984126984,0.4966757172046536
Popularity baseline,1291,usestrix/strix,150,0.2,0.013333333333333334,0.07857142857142857,0.21222636597291458
Popularity baseline,1298,sinaptik-ai/pandas-ai,192,0.4,0.020833333333333332,0.17285714285714288,0.36099027181348725
Popularity baseline,1308,Skyvern-AI/skyvern,270,0.6,0.022222222222222223,0.2984126984126984,0.4966757172046536
Popularity baseline,1312,p-e-w/heretic,511,0.7,0.0136986301369863,0.5430952380952381,0.7289115290270202
Popularity baseline,1319,NirDiamant/agents-towards-production,316,0.7,0.022151898734177215,0.5258333333333334,0.7218018303820491
Popularity baseline,1336,Canner/WrenAI,183,0.4,0.02185792349726776,0.17285714285714288,0.36099027181348725
Popularity baseline,1338,llmware-ai/llmware,68,0.1,0.014705882352941176,0.05,0.13886244387355454
Popularity baseline,1339,LlamaChinese/Llama-Chinese,129,0.2,0.015503875968992248,0.03666666666666667,0.14201905717762703
Popularity baseline,1347,modelscope/ms-swift,71,0.1,0.014084507042253521,0.016666666666666666,0.07839826897867533
Popularity baseline,1350,rowboatlabs/rowboat,304,0.6,0.019736842105263157,0.4326984126984127,0.6473362615659566
Popularity baseline,1354,eugeneyan/open-llms,135,0.1,0.007407407407407408,0.016666666666666666,0.07839826897867533
Popularity baseline,1359,opencode-ai/opencode,211,0.6,0.02843601895734597,0.4326984126984127,0.6473362615659566
Popularity baseline,1361,Chainlit/chainlit,208,0.6,0.028846153846153848,0.2984126984126984,0.4966757172046536
Popularity baseline,1363,h2oai/h2ogpt,221,0.5,0.02262443438914027,0.22730158730158728,0.42724449526787633
Popularity baseline,1369,axolotl-ai-cloud/axolotl,438,0.7,0.01598173515981735,0.5430952380952381,0.7289115290270202
Popularity baseline,1375,dataelement/bisheng,425,0.7,0.01647058823529412,0.3963095238095238,0.5750739861833288
Popularity baseline,1382,browseros-ai/BrowserOS,92,0.2,0.021739130434782608,0.0325,0.13305201013572898
Popularity baseline,1397,NVIDIA-NeMo/NeMo,39,0.0,0.0,0.0,0.0
Popularity baseline,1405,miurla/morphic,230,0.2,0.008695652173913044,0.0365079365079365,0.13961814555374907
Popularity baseline,1415,grab/cursor-talk-to-figma-mcp,323,0.7,0.021671826625386997,0.5347619047619048,0.7257345305446319
Popularity baseline,1423,potpie-ai/potpie,101,0.1,0.009900990099009901,0.05,0.13886244387355454
Popularity baseline,1454,instill-ai/instill-core,420,0.7,0.016666666666666666,0.4163095238095238,0.5914640815742043
